basket_size,hold_months,is_ann_return,is_sharpe,is_sortino,is_calmar,is_max_dd,is_hit_rate,is_n_periods,spy_is_ann_return,spy_is_sharpe,spy_is_sortino,spy_is_calmar,oos_ann_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_dd,oos_hit_rate,oos_n_periods,spy_oos_ann_return,spy_oos_sharpe,spy_oos_sortino,spy_oos_calmar
5,1,15.42,0.544,0.553,0.351,-43.98,62.3,239,11.59,0.403,0.367,0.228,29.58,0.939,1.815,3.967,-7.46,45.5,11.0,17.99,1.048,1.19,2.815
5,2,16.55,0.614,0.636,0.428,-38.65,67.2,119,11.8,0.417,0.356,0.256,27.24,0.968,1.47,10.844,-2.51,60.0,5.0,20.31,1.07,0.849,
5,3,15.58,0.577,0.536,0.344,-45.36,70.9,79,11.23,0.434,0.369,0.25,40.26,1.239,2.867,,0.0,66.7,3.0,23.31,0.78,1.09,
5,6,15.37,0.608,0.59,0.379,-40.57,79.5,39,11.21,0.436,0.341,0.272,,,,,,,,,,,
10,1,15.42,0.544,0.553,0.351,-43.98,62.3,239,11.59,0.403,0.367,0.228,29.58,0.939,1.815,3.967,-7.46,45.5,11.0,17.99,1.048,1.19,2.815
10,2,16.55,0.614,0.636,0.428,-38.65,67.2,119,11.8,0.417,0.356,0.256,27.24,0.968,1.47,10.844,-2.51,60.0,5.0,20.31,1.07,0.849,
10,3,15.58,0.577,0.536,0.344,-45.36,70.9,79,11.23,0.434,0.369,0.25,40.26,1.239,2.867,,0.0,66.7,3.0,23.31,0.78,1.09,
10,6,15.37,0.608,0.59,0.379,-40.57,79.5,39,11.21,0.436,0.341,0.272,,,,,,,,,,,
20,1,15.42,0.544,0.553,0.351,-43.98,62.3,239,11.59,0.403,0.367,0.228,23.83,0.811,1.34,3.196,-7.46,45.5,11.0,17.99,1.048,1.19,2.815
20,2,16.55,0.614,0.636,0.428,-38.65,67.2,119,11.8,0.417,0.356,0.256,20.74,0.716,1.023,6.55,-3.17,60.0,5.0,20.31,1.07,0.849,
20,3,15.58,0.577,0.536,0.344,-45.36,70.9,79,11.23,0.434,0.369,0.25,35.88,1.086,2.543,,0.0,66.7,3.0,23.31,0.78,1.09,
20,6,15.37,0.608,0.59,0.379,-40.57,79.5,39,11.21,0.436,0.341,0.272,,,,,,,,,,,
30,1,15.56,0.548,0.546,0.354,-43.98,60.7,239,11.59,0.403,0.367,0.228,15.57,0.589,0.817,2.609,-5.97,54.5,11.0,17.99,1.048,1.19,2.815
30,2,16.01,0.588,0.614,0.414,-38.65,67.2,119,11.8,0.417,0.356,0.256,15.4,0.478,0.634,3.007,-5.12,60.0,5.0,20.31,1.07,0.849,
30,3,14.1,0.505,0.459,0.311,-45.36,69.6,79,11.23,0.434,0.369,0.25,22.29,0.788,1.325,,0.0,66.7,3.0,23.31,0.78,1.09,
30,6,15.28,0.596,0.498,0.377,-40.57,79.5,39,11.21,0.436,0.341,0.272,,,,,,,,,,,
40,1,16.28,0.59,0.573,0.371,-43.89,64.4,239,11.59,0.403,0.367,0.228,7.59,0.166,0.166,1.114,-6.82,63.6,11.0,17.99,1.048,1.19,2.815
40,2,16.29,0.611,0.578,0.432,-37.71,69.7,119,11.8,0.417,0.356,0.256,12.77,0.339,0.398,4.214,-3.03,60.0,5.0,20.31,1.07,0.849,
40,3,14.69,0.569,0.494,0.327,-44.97,70.9,79,11.23,0.434,0.369,0.25,9.79,0.237,0.246,,0.0,66.7,3.0,23.31,0.78,1.09,
40,6,15.12,0.565,0.504,0.369,-41.01,76.9,39,11.21,0.436,0.341,0.272,,,,,,,,,,,
50,1,15.02,0.535,0.494,0.302,-49.69,65.7,239,11.59,0.403,0.367,0.228,7.28,0.162,0.194,1.345,-5.41,63.6,11.0,17.99,1.048,1.19,2.815
50,2,15.19,0.557,0.52,0.348,-43.59,70.6,119,11.8,0.417,0.356,0.256,12.52,0.376,0.444,5.818,-2.15,60.0,5.0,20.31,1.07,0.849,
50,3,14.24,0.563,0.456,0.332,-42.86,70.9,79,11.23,0.434,0.369,0.25,15.52,0.484,0.574,,0.0,66.7,3.0,23.31,0.78,1.09,
50,6,14.81,0.554,0.512,0.383,-38.7,79.5,39,11.21,0.436,0.341,0.272,,,,,,,,,,,
