basket_size,hold_months,run_id,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,t_stat,n_periods,n_months
10,1,top10_hold1m,10.6,17.13,0.305,0.294,-29.96,0.354,59.8,2.28,179,179
25,1,top25_hold1m,11.99,15.19,0.427,0.4,-25.95,0.462,65.4,2.89,179,179
50,1,top50_hold1m,12.11,14.19,0.465,0.446,-24.8,0.488,63.1,3.13,179,179
100,1,top100_hold1m,12.23,13.68,0.49,0.468,-21.77,0.562,65.4,3.27,179,179
10,2,top10_hold2m,11.64,17.44,0.356,0.322,-38.16,0.305,66.3,2.45,89,178
25,2,top25_hold2m,15.12,16.09,0.581,0.473,-32.12,0.471,76.4,3.41,89,178
50,2,top50_hold2m,14.35,14.79,0.586,0.458,-28.21,0.509,74.2,3.53,89,178
100,2,top100_hold2m,13.32,13.68,0.566,0.449,-25.33,0.526,75.3,3.56,89,178
10,3,top10_hold3m,7.72,14.62,0.178,0.165,-48.15,0.16,62.7,1.97,59,177
25,3,top25_hold3m,9.97,12.04,0.391,0.367,-27.15,0.367,67.8,3.07,59,177
50,3,top50_hold3m,10.43,11.71,0.439,0.417,-25.11,0.416,71.2,3.3,59,177
100,3,top100_hold3m,12.35,11.09,0.623,0.639,-18.7,0.66,69.5,4.09,59,177
10,6,top10_hold6m,8.27,13.47,0.235,0.193,-40.74,0.203,72.4,2.29,29,174
25,6,top25_hold6m,9.14,9.15,0.437,0.468,-24.58,0.372,75.9,3.72,29,174
50,6,top50_hold6m,11.86,9.0,0.732,0.839,-21.69,0.547,82.8,4.88,29,174
100,6,top100_hold6m,12.41,8.66,0.82,0.899,-18.54,0.669,86.2,5.29,29,174
