macro,basket,hold,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,t_stat,n_periods,n_months
hy_spread,10,1,13.85,18.75,0.435,0.44,-33.35,0.415,61.5,2.69,179,179
unemp_yoy,10,1,12.29,17.71,0.382,0.39,-32.27,0.381,59.8,2.54,179,179
no_macro,10,1,16.09,19.58,0.517,0.541,-32.27,0.499,62.0,2.96,179,179
hy_spread,25,1,16.16,16.43,0.62,0.659,-26.03,0.621,63.1,3.54,179,179
unemp_yoy,25,1,14.65,16.06,0.552,0.556,-24.58,0.596,62.6,3.31,179,179
no_macro,25,1,17.04,17.28,0.634,0.662,-24.58,0.693,64.2,3.54,179,179
hy_spread,50,1,15.01,14.87,0.617,0.602,-20.25,0.741,66.5,3.65,179,179
unemp_yoy,50,1,14.25,14.73,0.578,0.568,-19.36,0.736,65.4,3.51,179,179
no_macro,50,1,15.65,15.67,0.621,0.617,-20.44,0.766,65.4,3.6,179,179
hy_spread,10,2,16.25,18.41,0.562,0.646,-31.95,0.509,61.8,3.19,89,178
unemp_yoy,10,2,15.42,16.74,0.574,0.639,-18.52,0.833,62.9,3.34,89,178
no_macro,10,2,18.31,18.92,0.642,0.727,-26.73,0.685,64.0,3.47,89,178
hy_spread,25,2,17.06,15.44,0.716,0.839,-21.48,0.794,68.5,3.98,89,178
unemp_yoy,25,2,15.98,15.17,0.666,0.734,-20.61,0.776,68.5,3.81,89,178
no_macro,25,2,18.08,16.4,0.729,0.843,-21.09,0.857,68.5,3.96,89,178
hy_spread,50,2,15.88,14.19,0.706,0.754,-20.15,0.788,66.3,4.05,89,178
unemp_yoy,50,2,15.42,14.23,0.676,0.726,-16.95,0.91,66.3,3.93,89,178
no_macro,50,2,16.78,15.23,0.71,0.761,-19.06,0.88,66.3,3.97,89,178
hy_spread,10,3,17.79,15.13,0.78,0.84,-18.74,0.949,72.9,4.24,59,177
unemp_yoy,10,3,15.88,14.8,0.683,0.813,-18.74,0.848,67.8,3.9,59,177
no_macro,10,3,20.04,16.84,0.818,0.995,-18.74,1.07,72.9,4.26,59,177
hy_spread,25,3,17.43,12.77,0.9,1.047,-15.1,1.154,79.7,4.93,59,177
unemp_yoy,25,3,15.65,12.08,0.819,1.002,-15.1,1.036,76.3,4.71,59,177
no_macro,25,3,18.44,12.9,0.959,1.134,-15.1,1.221,79.7,5.15,59,177
hy_spread,50,3,15.5,11.17,0.874,1.093,-12.63,1.227,76.3,5.04,59,177
unemp_yoy,50,3,13.9,10.88,0.765,0.948,-13.62,1.021,72.9,4.67,59,177
no_macro,50,3,16.1,12.0,0.859,1.125,-13.62,1.182,74.6,4.87,59,177
