category,style,run_id,signal,ann_return,ann_vol,sharpe,max_drawdown,calmar,hit_rate,t_stat,n_months
Fundamental,long-only,ROE (TTM) | top-50,roe_ttm,16.34,19.0,0.539,-26.9,0.607,58.7,3.1,179
Fundamental,long-only,ROE (TTM) | top-25,roe_ttm,16.3,20.27,0.503,-35.68,0.457,59.8,2.9,179
Fundamental,long-only,Asset Turnover | top-100,asset_turnover,16.49,20.76,0.499,-35.15,0.469,55.3,2.86,179
Fundamental,long-only,ROE (TTM) | top-100,roe_ttm,15.88,19.88,0.494,-32.43,0.49,61.5,2.88,179
Fundamental,long-short,FCF Yield | L/S quintile,fcf_yield,11.41,17.76,0.329,-57.68,0.198,60.9,2.36,179
Fundamental,long-only,Asset Turnover | top-50,asset_turnover,12.73,22.1,0.319,-54.93,0.232,54.2,2.1,179
Fundamental,long-only,FCF Yield | top-100,fcf_yield,17.71,44.86,0.254,-83.68,0.212,49.7,1.41,179
Fundamental,long-short,Asset Turnover | L/S quintile,asset_turnover,7.64,10.75,0.222,-18.5,0.413,55.9,2.65,179
Fundamental,long-only,Earnings Yield | top-25,earnings_yield,16.4,53.14,0.194,-79.28,0.207,46.9,1.11,179
Fundamental,long-only,Leverage (neg) | top-25,leverage,9.7,32.3,0.133,-82.83,0.117,55.6,1.09,171
Fundamental,long-short,ROE (TTM) | L/S quintile,roe_ttm,7.72,21.18,0.116,-68.08,0.113,59.2,1.36,179
Fundamental,long-only,Asset Turnover | top-25,asset_turnover,8.16,28.5,0.101,-74.71,0.109,49.2,1.07,179
Fundamental,long-only,Gross Margin | top-100,gross_margin,7.42,24.37,0.089,-61.77,0.12,54.2,1.14,179
Fundamental,long-only,Value (neg P/B) | top-50,neg_pb,11.86,74.23,0.084,-97.69,0.121,42.1,0.56,164
Fundamental,long-only,Accruals (neg) | top-25,accruals,15.17,109.24,0.084,-99.04,0.153,45.8,0.5,179
Fundamental,long-only,Leverage (neg) | top-50,leverage,6.94,28.38,0.061,-63.87,0.109,48.6,0.92,179
Fundamental,long-short,Gross Margin | L/S quintile,gross_margin,6.23,21.28,0.05,-69.84,0.089,59.2,1.1,179
Fundamental,long-only,FCF Yield | top-25,fcf_yield,8.21,62.56,0.047,-95.89,0.086,43.4,0.4,122
Fundamental,long-only,Gross Margin | top-50,gross_margin,6.03,27.84,0.031,-68.85,0.088,49.2,0.81,179
Fundamental,long-short,Earnings Yield | L/S quintile,earnings_yield,5.46,23.56,0.014,-76.72,0.071,59.2,0.87,179
Fundamental,long-only,Earnings Yield | top-100,earnings_yield,5.02,31.12,-0.003,-63.66,0.079,52.5,0.61,179
Fundamental,long-short,Accruals (neg) | L/S quintile,accruals,4.97,8.66,-0.016,-16.77,0.297,58.7,2.17,179
Fundamental,long-short,Value (neg P/B) | L/S quintile,neg_pb,4.64,12.01,-0.038,-40.54,0.114,49.7,1.46,179
Fundamental,long-only,Earnings Yield | top-50,earnings_yield,3.37,41.51,-0.04,-77.77,0.043,52.5,0.31,179
Fundamental,long-only,Value (neg P/B) | top-100,neg_pb,2.08,48.61,-0.061,-92.95,0.022,45.3,0.16,179
Fundamental,long-only,FCF Yield | top-50,fcf_yield,-0.02,61.02,-0.082,-98.95,-0.0,41.6,-0.0,178
Fundamental,long-only,Accruals (neg) | top-50,accruals,0.03,53.09,-0.094,-88.95,0.0,44.7,0.0,179
Fundamental,long-only,Leverage (neg) | top-100,leverage,1.22,23.15,-0.163,-68.62,0.018,53.6,0.2,179
Fundamental,long-only,Accruals (neg) | top-100,accruals,-3.35,41.15,-0.204,-87.92,-0.038,45.3,-0.32,179
Fundamental,long-only,Gross Margin | top-25,gross_margin,-2.01,34.21,-0.205,-92.5,-0.022,43.6,-0.23,179
Fundamental,long-only,Value (neg P/B) | top-25,neg_pb,-15.53,81.95,-0.265,-99.77,-0.156,39.0,-0.65,123
Fundamental,long-short,Leverage (neg) | L/S quintile,leverage,-6.73,12.46,-0.959,-72.71,-0.093,43.0,-2.16,179
Macro,long-only,HY Spread Widening | timing,hy_spread_widening,10.13,13.14,0.357,-22.41,0.452,33.8,3.21,228
Macro,long-only,CPI Z-Score | timing,CPIAUCSL_zscore,11.35,17.28,0.336,-33.75,0.336,36.4,2.72,228
Macro,long-short,CPI Z-Score | L/S,CPIAUCSL_zscore,12.31,21.12,0.316,-42.19,0.292,54.4,2.41,228
Macro,long-short,HY Spread Widening | L/S,hy_spread_widening,9.85,21.22,0.209,-59.37,0.166,58.8,1.94,228
Macro,long-only,Payrolls Z-Score | timing,PAYEMS_zscore,9.24,19.04,0.203,-59.06,0.156,42.5,2.03,228
Macro,long-short,Payrolls Z-Score | L/S,PAYEMS_zscore,8.08,21.27,0.132,-59.06,0.137,53.9,1.6,228
Macro,long-only,10Y-3M Yield Curve | timing,T10Y3M_zscore,7.27,15.74,0.13,-59.06,0.123,32.5,1.95,228
Macro,long-only,10Y-2Y Yield Curve | timing,T10Y2Y_zscore,7.26,16.87,0.121,-59.06,0.123,33.8,1.82,228
Macro,long-short,10Y-3M Yield Curve | L/S,T10Y3M_zscore,4.22,21.36,-0.04,-59.06,0.071,52.2,0.85,228
Macro,long-short,10Y-2Y Yield Curve | L/S,T10Y2Y_zscore,4.21,21.36,-0.041,-64.02,0.066,53.5,0.84,228
