date,horizon,n_days,ret
2021-04-30,1W,5,-0.04421474609381815
2021-04-30,1M,21,-0.029644519508656764
2021-04-30,3M,63,0.08282791333484762
2021-06-30,1W,5,-0.07015211194679645
2021-06-30,1M,21,-0.061346315814720796
2021-06-30,3M,63,-0.04355864782810844
2021-07-31,1W,5,0.08331543623825044
2021-07-31,1M,21,0.07493216611607778
2021-07-31,3M,63,0.052722550299277866
2021-08-31,1W,5,-0.015845041415380772
2021-08-31,1M,21,-0.05917418292107921
2021-08-31,3M,63,0.013443554782070617
2021-09-30,1W,5,-0.007760511690461873
2021-09-30,1M,21,0.09583351574453758
2021-09-30,3M,63,-0.1092237481397561
2021-11-30,1W,5,-0.03345416959455182
2021-11-30,1M,21,-0.11075654701743476
2021-11-30,3M,63,-0.24128952000333503
2021-12-31,1W,5,-0.09494505830277561
2021-12-31,1M,21,-0.16795750883181454
2021-12-31,3M,63,-0.0872995016946923
2022-07-31,1W,5,-0.040181664849286314
2022-07-31,1M,21,0.054504971944265734
2022-07-31,3M,63,0.07459805170483869
2022-08-31,1W,5,-0.0014888538263183363
2022-08-31,1M,21,-0.08301119254584974
2022-08-31,3M,63,0.04682951686931327
2022-09-30,1W,5,0.06992908125613966
2022-09-30,1M,21,0.11390265509347135
2022-09-30,3M,63,0.04248180254800864
2022-11-30,1W,5,-0.06875413239001611
2022-11-30,1M,21,-0.02509437163773028
2022-11-30,3M,63,-0.021462732095002785
2022-12-31,1W,5,0.012663925575872419
2022-12-31,1M,21,0.03335894107113407
2022-12-31,3M,63,-0.044240001677749725
2023-03-31,1W,5,-0.014399234855380682
2023-03-31,1M,21,-0.03882838899769718
2023-03-31,3M,63,0.09103184994738296
2023-04-30,1W,5,0.003282279881562727
2023-04-30,1M,21,0.1212892244543914
2023-04-30,3M,63,0.19786040178511213
2023-05-31,1W,5,0.005323877318104935
2023-05-31,1M,21,0.08339376304414783
2023-05-31,3M,63,0.03932103923284194
2023-06-30,1W,5,0.0015788766188594464
2023-06-30,1M,21,0.02173904873148311
2023-06-30,3M,63,-0.05291316268318338
2023-07-31,1W,5,-0.015311713503125832
2023-07-31,1M,21,-0.028291956712254547
2023-07-31,3M,63,-0.11384990007084568
2023-11-30,1W,5,0.015580550863463834
2023-11-30,1M,21,0.035341416736334126
2023-11-30,3M,63,0.15703333090628763
2024-01-31,1W,5,0.058056666476852294
2024-01-31,1M,21,0.16715477509512436
2024-01-31,3M,63,0.5529023908109814
2024-02-29,1W,5,0.025243287840553384
2024-02-29,1M,21,-0.023602642480526705
2024-02-29,3M,63,-0.0831676957326252
2024-03-31,1W,5,0.018235332134324708
2024-03-31,1M,21,-0.016448351825657185
2024-03-31,3M,63,0.035449422858529804
2024-04-30,1W,5,0.0888017865051056
2024-04-30,1M,21,0.09851148140409437
2024-04-30,3M,63,0.15651262621185877
2024-05-31,1W,5,-0.037965186197610676
2024-05-31,1M,21,-0.16039795728350226
2024-05-31,3M,63,-0.14528846118792182
2024-06-30,1W,5,0.01611231514150289
2024-06-30,1M,21,0.022108767105826526
2024-06-30,3M,63,0.13071487510594934
2024-07-31,1W,5,-0.13000574412986998
2024-07-31,1M,21,0.010748746882542022
2024-07-31,3M,63,0.13681754918758182
2024-08-31,1W,5,-0.02547707845854926
2024-08-31,1M,21,0.01833819708830068
2024-08-31,3M,63,0.11865636807959126
2024-09-30,1W,5,-0.010825838948319974
2024-09-30,1M,21,0.016881811733633824
2024-09-30,3M,63,-0.007347952758742968
2024-10-31,1W,5,0.08064829813558831
2024-10-31,1M,21,0.2219475239186522
2024-10-31,3M,63,0.1860298767027156
2024-11-30,1W,5,0.004817336209901382
2024-11-30,1M,21,-0.07702741805446783
2024-11-30,3M,63,-0.14412657857125005
2024-12-31,1W,5,0.00468045813346635
2024-12-31,1M,21,0.06826785598011026
2024-12-31,3M,63,-0.1484105190375043
