signal,horizon,is_pearson,is_spearman,is_tstat,is_pval,oos_pearson,oos_spearman,oos_tstat
unrate_yoy,fwd_1m,0.2074,0.174,2.829,0.0052,-0.288,-0.0185,-0.851
unrate_yoy,fwd_3m,0.3501,0.2741,4.986,0.0,,,
unrate_yoy,fwd_6m,0.5659,0.3179,9.156,0.0,,,
unrate_yoy,fwd_12m,0.5451,0.3707,8.674,0.0,,,
unrate_level,fwd_1m,0.1489,0.1601,2.009,0.046,0.3787,0.1247,1.157
unrate_level,fwd_3m,0.249,0.2581,3.431,0.0007,,,
unrate_level,fwd_6m,0.4059,0.3252,5.925,0.0,,,
unrate_level,fwd_12m,0.3201,0.2619,4.507,0.0,,,
unrate_3m,fwd_1m,0.0258,-0.0781,0.344,0.7314,0.3015,0.2339,0.894
unrate_3m,fwd_3m,-0.081,0.0447,-1.085,0.2795,,,
unrate_3m,fwd_6m,0.0983,0.0919,1.318,0.1891,,,
unrate_3m,fwd_12m,0.2652,0.1894,3.669,0.0003,,,
icsa_yoy,fwd_1m,0.1768,0.2145,2.397,0.0176,0.1206,0.0364,0.365
icsa_yoy,fwd_3m,0.2725,0.3065,3.779,0.0002,,,
icsa_yoy,fwd_6m,0.3534,0.3034,5.041,0.0,,,
icsa_yoy,fwd_12m,0.4849,0.3726,7.397,0.0,,,
hy_spread,fwd_1m,0.2051,0.1996,2.797,0.0057,0.6579,0.7091,2.621
hy_spread,fwd_3m,0.3166,0.3344,4.453,0.0,,,
hy_spread,fwd_6m,0.4302,0.4302,6.357,0.0,,,
hy_spread,fwd_12m,0.4738,0.5023,7.179,0.0,,,
yield_curve,fwd_1m,0.0387,0.0553,0.517,0.6059,0.3224,0.2733,1.022
yield_curve,fwd_3m,0.0377,0.0657,0.503,0.6158,,,
yield_curve,fwd_6m,0.0307,0.1041,0.41,0.6823,,,
yield_curve,fwd_12m,-0.0123,0.0716,-0.164,0.8696,,,
indpro_yoy,fwd_1m,-0.14,-0.1137,-1.887,0.0608,0.0319,-0.1636,0.096
indpro_yoy,fwd_3m,-0.22,-0.1439,-3.009,0.003,,,
indpro_yoy,fwd_6m,-0.3835,-0.2001,-5.54,0.0,,,
indpro_yoy,fwd_12m,-0.5309,-0.3917,-8.359,0.0,,,
