basket_size,hold_months,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,t_stat,n_periods,n_months
10,1,2.84,22.91,-0.091,-0.107,-17.63,0.161,41.7,0.12,12,12
25,1,10.85,15.84,0.345,0.454,-8.7,1.248,41.7,0.65,12,12
50,1,16.26,13.13,0.782,1.021,-5.89,2.759,58.3,1.15,12,12
100,1,17.89,10.18,1.148,1.764,-4.9,3.652,58.3,1.63,12,12
10,2,19.24,21.34,0.607,0.662,-10.23,1.882,66.7,0.84,6,12
25,2,9.84,15.95,0.286,0.279,-9.53,1.032,66.7,0.59,6,12
50,2,15.18,14.5,0.648,0.754,-6.9,2.2,66.7,0.99,6,12
100,2,16.15,11.71,0.876,1.216,-6.34,2.545,66.7,1.3,6,12
10,3,8.96,21.21,0.177,0.147,-11.57,0.774,75.0,0.41,4,12
25,3,-4.43,18.72,-0.503,-0.439,-12.66,-0.35,50.0,-0.24,4,12
50,3,5.76,9.89,0.074,0.093,-9.56,0.603,50.0,0.57,4,12
100,3,4.92,6.4,-0.012,-0.018,-9.45,0.521,75.0,0.76,4,12
10,6,12.93,1.74,4.355,,-7.85,1.646,100.0,7.19,2,12
25,6,5.39,2.58,0.147,0.244,-11.48,0.469,100.0,2.06,2,12
50,6,9.72,3.56,1.277,,-8.44,1.152,100.0,2.66,2,12
100,6,10.82,4.92,1.139,,-7.68,1.409,100.0,2.14,2,12
